Point{x=3975, y=745}
Point{x=4253, y=612}
Point{x=2435, y=2946}
Point{x=2211, y=2191}
Point{x=2715, y=2277}
Point{x=2651, y=2123}
Point{x=2239, y=2693}
Point{x=3787, y=841}
Point{x=3873, y=744}
Point{x=4335, y=747}
Point{x=783, y=866}
Point{x=1951, y=2457}
Point{x=2224, y=2275}
Point{x=3950, y=697}
Point{x=648, y=758}
Point{x=3760, y=699}
Point{x=2497, y=2509}
Point{x=2383, y=2882}
Point{x=808, y=895}
Point{x=1012, y=656}
Point{x=3878, y=937}
Point{x=4190, y=876}
Point{x=2126, y=2607}
Point{x=3833, y=544}
Point{x=4128, y=867}
Point{x=708, y=929}
Point{x=3820, y=873}
Point{x=3751, y=646}
Point{x=902, y=619}
Point{x=2541, y=2107}
Point{x=2679, y=2550}
Point{x=2466, y=2508}
Point{x=3628, y=788}
Point{x=2485, y=2660}
Point{x=3847, y=676}
Point{x=3923, y=1160}
Point{x=4036, y=780}
Point{x=832, y=717}
Point{x=4066, y=945}
Point{x=2256, y=2101}
Point{x=2713, y=2670}
Point{x=2770, y=2545}
Point{x=3919, y=513}
Point{x=4467, y=790}
Point{x=3703, y=753}
Point{x=2847, y=2276}
Point{x=4015, y=669}
Point{x=3935, y=413}
Point{x=1069, y=863}
Point{x=3712, y=900}
Point{x=3900, y=935}
Point{x=2418, y=2926}
Point{x=2539, y=2541}
Point{x=2471, y=2155}
Point{x=1109, y=737}
Point{x=3845, y=1059}
Point{x=2844, y=2381}
Point{x=3705, y=974}
Point{x=598, y=905}
Point{x=758, y=896}
Point{x=3745, y=567}
Point{x=765, y=852}
Point{x=903, y=1045}
Point{x=769, y=1132}
Point{x=2720, y=2285}
Point{x=2194, y=2778}
Point{x=671, y=645}
Point{x=2814, y=2233}
Point{x=582, y=732}
Point{x=2277, y=2767}
Point{x=776, y=1026}
Point{x=2172, y=2261}
Point{x=2081, y=2418}
Point{x=2187, y=2604}
Point{x=2130, y=2227}
Point{x=4282, y=621}
Point{x=1911, y=2498}
Point{x=2863, y=2443}
Point{x=4183, y=824}
Point{x=2805, y=2459}
Point{x=1092, y=853}
Point{x=2459, y=2303}
Point{x=2296, y=2070}
Point{x=4060, y=415}
Point{x=654, y=942}
Point{x=2119, y=2514}
Point{x=665, y=750}
Point{x=3778, y=855}
Point{x=750, y=859}
Point{x=3958, y=779}
Point{x=945, y=1007}
Point{x=551, y=713}
Point{x=2508, y=2369}
Point{x=2741, y=2554}
Point{x=2672, y=2371}
Point{x=2177, y=2198}
Point{x=615, y=852}
Point{x=2564, y=2228}
Point{x=2409, y=2320}
Point{x=803, y=1140}
Point{x=927, y=852}
Point{x=488, y=763}
Point{x=2480, y=2395}
Point{x=908, y=926}
Point{x=2417, y=2488}
Point{x=3933, y=878}
Point{x=1076, y=822}
Point{x=2411, y=2558}
Point{x=2432, y=2751}
Point{x=2353, y=2566}
Point{x=4299, y=866}
Point{x=2284, y=2740}
Point{x=787, y=1106}
Point{x=625, y=837}
Point{x=779, y=1130}
Point{x=2476, y=2544}
Point{x=3919, y=1183}
Point{x=2452, y=2922}
Point{x=2362, y=2241}
Point{x=4077, y=631}
Point{x=3557, y=785}
Point{x=792, y=847}
Point{x=2634, y=2753}
Point{x=4017, y=618}
Point{x=2095, y=2368}
Point{x=3821, y=527}
Point{x=1899, y=2344}
Point{x=3915, y=432}
Point{x=3935, y=1046}
Point{x=2435, y=2318}
Point{x=4461, y=816}
Point{x=4166, y=795}
Point{x=483, y=722}
Point{x=926, y=993}
Point{x=2537, y=2092}
Point{x=2519, y=2110}
Point{x=800, y=754}
Point{x=4259, y=934}
Point{x=4112, y=897}
Point{x=3775, y=679}
Point{x=2023, y=2589}
Point{x=3723, y=865}
Point{x=4103, y=867}
Point{x=933, y=959}
Point{x=4069, y=1046}
Point{x=2179, y=2036}
Point{x=3668, y=698}
Point{x=2453, y=2158}
Point{x=924, y=1055}
Point{x=796, y=811}
Point{x=2548, y=2415}
Point{x=600, y=760}
Point{x=3936, y=1177}
Point{x=2451, y=2032}
Point{x=4193, y=898}
Point{x=913, y=653}
Point{x=2619, y=2336}
Point{x=2437, y=2703}
Point{x=3961, y=1092}
Point{x=788, y=898}
Point{x=4021, y=555}
Point{x=3902, y=992}
Point{x=3856, y=886}
Point{x=981, y=984}
Point{x=3816, y=673}
Point{x=2642, y=2748}
Point{x=2697, y=2306}
Point{x=3656, y=772}
Point{x=2248, y=2753}
Point{x=2170, y=2663}
Point{x=2614, y=2557}
Point{x=954, y=571}
Point{x=424, y=811}
Point{x=4064, y=1180}
Point{x=881, y=543}
Point{x=4255, y=779}
Point{x=894, y=559}
Point{x=2370, y=2742}
Point{x=926, y=846}
Point{x=2184, y=2511}
Point{x=607, y=652}
Point{x=498, y=877}
Point{x=792, y=1121}
Point{x=737, y=1050}
Point{x=2413, y=2593}
Point{x=770, y=642}
Point{x=2418, y=2028}
Point{x=4365, y=675}
Point{x=2657, y=2079}
Point{x=4432, y=811}
Point{x=3922, y=1145}
Point{x=890, y=521}
Point{x=2420, y=2143}
Point{x=2069, y=2653}
Point{x=4255, y=725}
Point{x=941, y=944}
Point{x=658, y=586}
Point{x=2480, y=2287}
Point{x=4296, y=701}
Point{x=2033, y=2512}
Point{x=3823, y=565}
Point{x=727, y=595}
Point{x=3849, y=546}
Point{x=2428, y=2215}
Point{x=2695, y=2482}
Point{x=4414, y=840}
Point{x=3864, y=580}
Point{x=2411, y=2225}
Point{x=451, y=820}
Point{x=4058, y=367}
Point{x=2739, y=2395}
Point{x=2487, y=2160}
Point{x=3600, y=769}
Point{x=4340, y=730}
Point{x=3865, y=457}
Point{x=3848, y=627}
Point{x=2269, y=2303}
Point{x=4015, y=1139}
Point{x=3972, y=349}
Point{x=3955, y=639}
Point{x=1978, y=2443}
Point{x=4085, y=1009}
Point{x=2152, y=2206}
Point{x=2603, y=2404}
Point{x=701, y=949}
Point{x=4229, y=604}
Point{x=2676, y=2082}
Point{x=2779, y=2385}
Point{x=808, y=1169}
Point{x=969, y=942}
Point{x=2291, y=2126}
Point{x=2071, y=2317}
Point{x=4279, y=763}
Point{x=670, y=652}
Point{x=875, y=1086}
Point{x=2365, y=2038}
Point{x=3735, y=955}
Point{x=4158, y=714}
Point{x=4032, y=579}
Point{x=1031, y=843}
Point{x=3995, y=924}
Point{x=583, y=743}
Point{x=4237, y=969}
Point{x=4101, y=559}
Point{x=3722, y=815}
Point{x=2980, y=2381}
Point{x=2766, y=2509}
Point{x=836, y=1110}
Point{x=994, y=914}
Point{x=3997, y=487}
Point{x=2398, y=2258}
Point{x=2271, y=2234}
Point{x=3609, y=900}
Point{x=2636, y=2514}
Point{x=2848, y=2382}
Point{x=2173, y=2613}
Point{x=2635, y=2145}
Point{x=2704, y=2243}
Point{x=2189, y=2070}
Point{x=2198, y=2686}
Point{x=768, y=931}
Point{x=2811, y=2585}
Point{x=2153, y=2692}
Point{x=2428, y=2900}
Point{x=2775, y=2280}
Point{x=903, y=638}
Point{x=2410, y=2399}
Point{x=931, y=830}
Point{x=2182, y=2521}
Point{x=3788, y=685}
Point{x=4103, y=917}
Point{x=4199, y=931}
Point{x=2044, y=2157}
Point{x=2006, y=2281}
Point{x=2922, y=2406}
Point{x=4198, y=809}
Point{x=3878, y=756}
Point{x=891, y=516}
Point{x=1958, y=2442}
Point{x=2691, y=2168}
Point{x=4121, y=1100}
Point{x=3908, y=505}
Point{x=2692, y=2532}
Point{x=2311, y=2125}
Point{x=835, y=835}
Point{x=3961, y=562}
Point{x=2826, y=2549}
Point{x=730, y=891}
Point{x=1938, y=2492}
Point{x=2245, y=2186}
Point{x=3957, y=824}
Point{x=2240, y=2711}
Point{x=3765, y=693}
Point{x=4010, y=978}
Point{x=4360, y=931}
Point{x=4212, y=744}
Point{x=3851, y=481}
Point{x=2145, y=2142}
Point{x=2681, y=2330}
Point{x=977, y=880}
Point{x=4440, y=804}
Point{x=2347, y=2420}
Point{x=4371, y=899}
Point{x=787, y=573}
Point{x=3900, y=1151}
Point{x=745, y=737}
Point{x=2600, y=2705}
Point{x=2411, y=2461}
Point{x=741, y=716}
Point{x=4114, y=549}
Point{x=2484, y=2496}
Point{x=2213, y=2739}
Point{x=795, y=861}
Point{x=786, y=656}
Point{x=933, y=836}
Point{x=3951, y=924}
Point{x=3553, y=849}
Point{x=709, y=1076}
Point{x=2001, y=2377}
Point{x=2029, y=2363}
Point{x=1993, y=2252}
Point{x=815, y=1067}
Point{x=670, y=746}
Point{x=775, y=960}
Point{x=4018, y=576}
Point{x=2379, y=2057}
Point{x=676, y=1071}
Point{x=720, y=532}
Point{x=4166, y=926}
Point{x=2554, y=1991}
Point{x=2198, y=2248}
Point{x=4234, y=971}
Point{x=2131, y=2563}
Point{x=4113, y=418}
Point{x=2629, y=2361}
Point{x=2046, y=2341}
Point{x=3943, y=1158}
Point{x=818, y=734}
Point{x=2046, y=2616}
Point{x=824, y=960}
Point{x=847, y=1123}
Point{x=845, y=563}
Point{x=2448, y=2863}
Point{x=4155, y=471}
Point{x=3773, y=841}
Point{x=4214, y=1083}
Point{x=2801, y=2312}
Point{x=780, y=986}
Point{x=4379, y=704}
Point{x=2172, y=2569}
Point{x=2623, y=2474}
Point{x=2405, y=2558}
Point{x=1955, y=2336}
Point{x=2299, y=1988}
Point{x=2727, y=2640}
Point{x=2868, y=2346}
Point{x=2607, y=2343}
Point{x=4283, y=801}
Point{x=4021, y=1030}
Point{x=4270, y=744}
Point{x=2017, y=2415}
Point{x=4031, y=552}
Point{x=4030, y=416}
Point{x=4177, y=622}
Point{x=581, y=867}
Point{x=2176, y=2643}
Point{x=802, y=704}
Point{x=899, y=892}
Point{x=2466, y=2189}
Point{x=3695, y=736}
Point{x=3852, y=897}
Point{x=1021, y=755}
Point{x=2563, y=2068}
Point{x=537, y=829}
Point{x=609, y=648}
Point{x=3741, y=961}
Point{x=4118, y=493}
Point{x=826, y=649}
Point{x=740, y=491}
Point{x=931, y=970}
Point{x=2219, y=2633}
Point{x=2356, y=2175}
Point{x=2640, y=2755}
Point{x=4090, y=1006}
Point{x=1015, y=809}
Point{x=4201, y=714}
Point{x=2778, y=2320}
Point{x=3832, y=1104}
Point{x=2244, y=2186}
Point{x=1960, y=2381}
Point{x=2357, y=2703}
Point{x=4116, y=1028}
Point{x=2057, y=2192}
Point{x=2741, y=2619}
Point{x=2678, y=2283}
Point{x=4069, y=532}
Point{x=2508, y=2752}
Point{x=745, y=667}
Point{x=2455, y=2265}
Point{x=1883, y=2431}
Point{x=650, y=849}
Point{x=3962, y=958}
Point{x=4010, y=472}
Point{x=1049, y=929}
Point{x=3779, y=686}
Point{x=3935, y=616}
Point{x=751, y=986}
Point{x=2803, y=2506}
Point{x=726, y=719}
Point{x=800, y=788}
Point{x=912, y=522}
Point{x=1114, y=880}
Point{x=3810, y=1080}
Point{x=3813, y=664}
Point{x=1025, y=872}
Point{x=4301, y=902}
Point{x=4148, y=896}
Point{x=2217, y=2655}
Point{x=2806, y=2304}
Point{x=4030, y=780}
Point{x=681, y=880}
Point{x=4048, y=901}
Point{x=3876, y=1056}
Point{x=2200, y=2680}
Point{x=4089, y=455}
Point{x=2439, y=2225}
Point{x=498, y=787}
Point{x=523, y=712}
Point{x=2225, y=2425}
Point{x=912, y=579}
Point{x=805, y=892}
Point{x=4029, y=1100}
Point{x=2388, y=2751}
Point{x=2402, y=2670}
Point{x=3863, y=807}
Point{x=4069, y=864}
Point{x=2631, y=2399}
Point{x=2233, y=2072}
Point{x=740, y=1047}
Point{x=4081, y=982}
Point{x=4435, y=761}
Point{x=2907, y=2352}
Point{x=654, y=556}
Point{x=844, y=752}
Point{x=2467, y=2012}
Point{x=2515, y=2195}
Point{x=657, y=694}
Point{x=4106, y=486}
Point{x=2483, y=2501}
Point{x=3847, y=1026}
Point{x=3987, y=1103}
Point{x=608, y=595}
Point{x=898, y=558}
Point{x=867, y=505}
Point{x=4118, y=912}
Point{x=971, y=946}
Point{x=2319, y=2429}
Point{x=2462, y=2803}
Point{x=2256, y=2221}
Point{x=2470, y=1997}
Point{x=2758, y=2237}
Point{x=2558, y=2131}
Point{x=2579, y=2128}
Point{x=2286, y=2119}
Point{x=2731, y=2517}
Point{x=2500, y=2196}
Point{x=2192, y=2176}
Point{x=2644, y=2341}
Point{x=744, y=930}
Point{x=2247, y=2539}
Point{x=4108, y=1139}
Point{x=950, y=815}
Point{x=839, y=1134}
Point{x=2632, y=2682}
Point{x=2437, y=2090}
Point{x=2317, y=2242}
Point{x=2457, y=2740}
Point{x=4150, y=906}
Point{x=2821, y=2436}
Point{x=2011, y=2491}
Point{x=841, y=754}
Point{x=3781, y=1004}
Point{x=2632, y=2396}
Point{x=829, y=624}
Point{x=2305, y=2830}
Point{x=1021, y=628}
Point{x=2045, y=2230}
Point{x=1874, y=2388}
Point{x=2167, y=2606}
Point{x=3991, y=418}
Point{x=3980, y=327}
Point{x=2298, y=1989}
Point{x=2384, y=2662}
Point{x=777, y=566}
Point{x=4051, y=839}
Point{x=2568, y=2340}
Point{x=3606, y=766}
Point{x=4419, y=727}
Point{x=3934, y=944}
Point{x=4444, y=812}
Point{x=3804, y=807}
Point{x=3847, y=1007}
Point{x=2519, y=2383}
Point{x=3854, y=988}
Point{x=3873, y=1061}
Point{x=4258, y=801}
Point{x=4383, y=865}
Point{x=2264, y=2072}
Point{x=2568, y=2163}
Point{x=2516, y=2117}
Point{x=754, y=851}
Point{x=2297, y=2565}
Point{x=2267, y=2006}
Point{x=2595, y=2360}
Point{x=887, y=951}
Point{x=2826, y=2234}
Point{x=4350, y=736}
Point{x=883, y=811}
Point{x=3961, y=809}
Point{x=2344, y=2807}
Point{x=2685, y=2215}
Point{x=4176, y=601}
Point{x=2295, y=2669}
Point{x=644, y=891}
Point{x=1010, y=787}
Point{x=833, y=515}
Point{x=2577, y=2347}
Point{x=2433, y=2898}
Point{x=728, y=897}
Point{x=3861, y=681}
Point{x=2151, y=2378}
Point{x=2414, y=2111}
Point{x=2419, y=2591}
Point{x=2171, y=2358}
Point{x=2676, y=2106}
Point{x=2170, y=2673}
Point{x=2697, y=2259}
Point{x=3580, y=788}
Point{x=2503, y=1997}
Point{x=4007, y=570}
Point{x=2254, y=2680}
Point{x=3919, y=1062}
Point{x=3919, y=952}
Point{x=4223, y=651}
Point{x=3841, y=578}
Point{x=2520, y=2458}
Point{x=3732, y=833}
Point{x=697, y=578}
Point{x=2501, y=2014}
Point{x=723, y=1044}
Point{x=3731, y=903}
Point{x=2301, y=2644}
Point{x=2804, y=2412}
Point{x=2065, y=2320}
Point{x=2404, y=2442}
Point{x=4030, y=770}
Point{x=2295, y=2450}
Point{x=2451, y=2922}
Point{x=1912, y=2375}
Point{x=689, y=1043}
Point{x=2513, y=2086}
Point{x=795, y=1020}
Point{x=2343, y=2540}
Point{x=632, y=781}
Point{x=1925, y=2410}
Point{x=4139, y=1060}
Point{x=2749, y=2220}
Point{x=864, y=786}
Point{x=1905, y=2416}
Point{x=1836, y=2410}
Point{x=2046, y=2342}
Point{x=600, y=610}
Point{x=2028, y=2412}
Point{x=460, y=810}
Point{x=4003, y=827}
Point{x=577, y=904}
Point{x=3967, y=832}
Point{x=2332, y=2931}
Point{x=3859, y=967}
Point{x=2289, y=2423}
Point{x=2052, y=2556}
Point{x=2498, y=2100}
Point{x=4339, y=640}
Point{x=2371, y=1929}
Point{x=3842, y=862}
Point{x=3809, y=542}
Point{x=897, y=747}
Point{x=794, y=1084}
Point{x=3795, y=527}
Point{x=4332, y=809}
Point{x=2262, y=2086}
Point{x=2148, y=2572}
Point{x=2375, y=2678}
Point{x=4020, y=751}
Point{x=2139, y=2246}
Point{x=586, y=944}
Point{x=866, y=778}
Point{x=2310, y=2235}
Point{x=702, y=705}
Point{x=2799, y=2223}
Point{x=4015, y=569}
Point{x=2356, y=1973}
Point{x=3972, y=712}
Point{x=4026, y=1151}
Point{x=2141, y=2346}
Point{x=882, y=663}
Point{x=3970, y=963}
Point{x=934, y=569}
Point{x=822, y=568}
Point{x=4102, y=762}
Point{x=2319, y=2032}
Point{x=2409, y=2439}
Point{x=1970, y=2459}
Point{x=3880, y=576}
Point{x=671, y=671}
Point{x=4448, y=827}
Point{x=4311, y=917}
Point{x=3584, y=864}
Point{x=2580, y=2769}
Point{x=441, y=777}
Point{x=775, y=693}
Point{x=4225, y=1001}
Point{x=733, y=492}
Point{x=2412, y=2921}
Point{x=871, y=492}
Point{x=2793, y=2284}
Point{x=2683, y=2683}
Point{x=2196, y=2293}
Point{x=4191, y=814}
Point{x=3900, y=1075}
Point{x=2419, y=2198}
Point{x=998, y=769}
Point{x=1011, y=867}
Point{x=3771, y=1056}
Point{x=2557, y=2096}
Point{x=2402, y=2914}
Point{x=2187, y=2785}
Point{x=2643, y=2208}
Point{x=702, y=683}
Point{x=3687, y=932}
Point{x=2306, y=2174}
Point{x=2669, y=2318}
Point{x=4031, y=478}
Point{x=3937, y=1069}
Point{x=4037, y=473}
Point{x=1915, y=2441}
Point{x=2062, y=2344}
Point{x=2179, y=2709}
Point{x=2301, y=2037}
Point{x=2302, y=2106}
Point{x=2130, y=2249}
Point{x=3777, y=903}
Point{x=2757, y=2426}
